class,len
Attack,15850
Attack,15815
Attack,3293
Attack,2975
Attack,2893
Attack,20464
Attack,9869
Attack,2963
Attack,11676
Attack,12392
Attack,12039
Attack,11416
Attack,11448
Attack,12010
Attack,630
Attack,36
Attack,113
Attack,44098
Attack,43479
Attack,10376
Attack,35
Attack,35
Attack,35
Attack,35
Attack,35
Attack,35
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,587
Attack,35
Attack,35
Attack,561
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,15548
Attack,587
Attack,33972
Attack,7734
Attack,20353
Attack,6521
Attack,28769
Attack,38276
Attack,37186
Attack,35
Attack,17680
Attack,8916
Attack,14653
Attack,15844
Attack,33
Attack,2840
Attack,34
Attack,17100
Attack,16627
Attack,16256
Attack,15721
Attack,33
Attack,33
Attack,33
Attack,33
Attack,32
Attack,32
Attack,26115
Attack,24657
Attack,8340
Attack,19374
Attack,31327
Attack,19415
Attack,32
Attack,819
Attack,772
Attack,34
Attack,567
Attack,31
Attack,140
Attack,32
Attack,629
Attack,31
Attack,12304
Attack,40627
Attack,39598
Attack,1325
Attack,1056
Attack,779
Attack,860
Attack,687
Attack,718
Attack,492
Attack,506
Attack,491
Attack,567
Attack,583
Attack,732
Attack,482
Attack,947
Attack,615
Attack,750
Attack,500
Attack,641
Attack,507
Attack,513
Attack,471
Attack,780
Attack,928
Attack,1021
Attack,496
Attack,1097
Attack,839
Attack,1197
Attack,952
Attack,563
Attack,39
Attack,39
Attack,620
Attack,805
Attack,479
Attack,8967
Attack,43939
Attack,34864
Attack,32
Attack,33
Attack,2617
Attack,1880
Attack,11888
Attack,11501
Attack,11353
Attack,34
Attack,36912
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,363
Attack,15565
Attack,14636
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,136
Attack,136
Attack,137
Attack,3250
Attack,136
Attack,17228
Attack,16748
Attack,16367
Attack,17562
Attack,9596
Attack,10834
Attack,32
Attack,6332
Attack,68
Attack,68
Attack,15520
Attack,31
Attack,12160
Attack,11705
Attack,12562
Attack,567
Attack,567
Attack,567
Attack,567
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,35
Attack,31
Attack,12527
Attack,31
Attack,8091
Attack,9136
Attack,34
Attack,15102
Attack,31
Attack,32
Attack,8799
Attack,8245
Attack,6836
Attack,12312
Attack,11704
Attack,11140
Attack,11625
Attack,10467
Attack,11414
Attack,11917
Attack,14092
Attack,10673
Attack,10430
Attack,11274
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,33885
Attack,44685
Attack,10534
Attack,44
Attack,40
Attack,31
Attack,12599
Attack,32
Attack,32
Attack,32
Attack,32
Attack,31
Attack,630
Attack,4298
Attack,3960
Attack,10019
Attack,1930
Attack,1762
Attack,663
Attack,1963
Attack,1448
Attack,1987
Attack,13332
Attack,2028
Attack,1945
Attack,1925
Attack,1390
Attack,5100
Attack,1170
Attack,12365
Attack,630
Attack,102
Attack,10053
Attack,9234
Attack,5832
Attack,35833
Attack,26599
Attack,39
Attack,31
Attack,31
Attack,583
Attack,16609
Attack,31
Attack,31
Attack,966
Attack,31
Attack,5412
Attack,31
Attack,29707
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,33
Attack,32
Attack,32
Attack,32
Attack,31
Attack,8189
Attack,7484
Attack,8158
Attack,10999
Attack,10849
Attack,16522
Attack,27612
Attack,19612
Attack,18371
Attack,10112
Attack,29428
Attack,21039
Attack,25609
Attack,31
Attack,31
Attack,562
Attack,13096
Attack,6817
Attack,14031
Attack,562
Attack,36
Attack,36
Attack,36
Attack,36
Attack,560
Attack,560
Attack,560
Attack,36
Attack,36
Attack,36
Attack,36
Attack,36
Attack,560
Attack,114
Attack,107
Attack,10927
Attack,108
Attack,144
Attack,587
Attack,107
Attack,16090
Attack,14309
Attack,77
Attack,570
Attack,31
Attack,2726
Attack,11407
Attack,11060
Attack,13286
Attack,597
Attack,595
Attack,604
Attack,588
Attack,603
Attack,597
Attack,597
Attack,595
Attack,596
Attack,592
Attack,593
Attack,620
Attack,22829
Attack,593
Attack,604
Attack,21042
Attack,600
Attack,593
Attack,599
Attack,19873
Attack,595
Attack,593
Attack,594
Attack,603
Attack,21941
Attack,600
Attack,597
Attack,568
Attack,596
Attack,593
Attack,593
Attack,588
Attack,593
Attack,600
Attack,568
Attack,593
Attack,595
Attack,596
Attack,21389
Attack,592
Attack,596
