,attack_count,normal_count,attack_share,normal_share,diff_share
execve,137105,10054,0.00032487213738313696,0.00020378610420783037,0.00012108603317530659
brk,282524,484801,0.000669444409336154,0.009826507569729498,-0.009157063160393344
arch_prctl,144372,17532,0.0003420913914027807,0.00035535886005288265,-1.3267468650101928e-05
access,579672,24631,0.001373540582919352,0.0004992496054051194,0.0008742909775142327
openat,4438326,1691851,0.010516673017199583,0.03429239349414383,-0.023775720476944245
newfstatat,198001,1156641,0.0004691660265781591,0.023444137990555912,-0.022974971963977752
mmap,22312606,1335142,0.052870019341437625,0.027062202779416258,0.025807816562021368
close,60760825,2737915,0.14397359021853867,0.055495228914082144,0.08847836130445652
read,471787,2993749,0.001117905627654557,0.06068076841914541,-0.05956286279149085
pread64,29277,148623,6.937224438325445e-05,0.003012462916817224,-0.00294309067243397
mprotect,694837,1212244,0.0016464255958782447,0.024571163925732754,-0.02292473832985451
munmap,137092,518358,0.0003248413337086832,0.010506679670276759,-0.010181838336568076
clone,12625219,595354,0.029915625844864818,0.012067323680579733,0.017848302164285085
wait4,71407963,164832,0.16920212658900813,0.0033410056821946586,0.16586112090681346
prctl,12468299,1646,0.029543801799073916,3.336303237776893e-05,0.029510438766696147
clock_nanosleep,5936248,1126519,0.014066019297592151,0.022833590444211346,-0.008767571146619194
setpgid,12463932,2770,0.029533454133970877,5.614556481556496e-05,0.02947730856915531
write,3550289,7373130,0.008412457428670288,0.1494471293532803,-0.14103467192461003
exit_group,12579592,161720,0.02980751205607243,0.0032779280656942836,0.026529583990378146
rt_sigaction,821200,141730,0.0019458444201089099,0.002872747617801452,-0.0009269031976925422
unshare,253504,319,0.0006006811299017158,6.465861074427878e-06,0.000594215268827288
mount,2824092,999,0.006691723891955932,2.0248887816155018e-05,0.006671475004139777
setsid,35157,44,8.33049832900255e-05,8.918429068176383e-07,8.241314038320785e-05
prlimit64,21137,6271,5.008440514837071e-05,0.0001271078833784866,-7.702347823011589e-05
socket,43521335,206472,0.103124387317877,0.004185013378555714,0.09893937393932128
ioctl,10311291,2774490,0.02443274239706432,0.05623657333037431,-0.03180383093330999
sendto,5986966,241247,0.014186196279203311,0.004889873312296246,0.009296322966907066
recvfrom,352641,51405,0.0008355875817725598,0.0010419360142036524,-0.00020634843243109264
dup2,152361,71803,0.0003610214341113171,0.0014553862781415202,-0.001094364844030203
getsockopt,855174,839,0.0020263462690236446,1.7005822700454515e-05,0.00200934044632319
writev,3475605,168156,0.00823549268844694,0.003408380359973336,0.004827112328473604
connect,8856079,537373,0.0209845980348194,0.01089209769012079,0.01009250034469861
sendmmsg,206221,1995,0.0004886434268866044,4.043696816139065e-05,0.0004482064587252137
setsockopt,17183017,239152,0.04071538936932116,0.004847409428437542,0.03586797994088362
mkdir,1670072,204250,0.003957258015562746,0.004139975311761424,-0.00018271729619867734
chmod,34280,2244,8.122692002110743e-05,4.548398824769956e-05,3.574293177340787e-05
chdir,1165966,3360,0.0027627720837027584,6.810436742971057e-05,0.002694667716273048
getuid,94008,3605,0.0002227532175421315,7.307031088812696e-05,0.00014968290665400455
getgid,94272,3615,0.0002233787690848845,7.327300245785825e-05,0.00015010576662702625
pivot_root,53015,4,0.00012561975393579378,8.107662789251258e-08,0.00012553867730790127
umount2,1776753,640,0.004210040076670441,1.2972260462802013e-05,0.0041970678162076384
chroot,311,2746,7.369186734703738e-07,5.565910504820989e-05,-5.4922186374739515e-05
