bigram,attack,normal,z
write → write,39307,1215439,-645.9419239026854
mmap → mmap,12259,376529,-355.31643669043547
mprotect → mprotect,5988,432330,-316.55124514713253
openat → newfstatat,12469,197653,-280.52780464632355
connect → connect,2018,419313,-231.95663778515646
newfstatat → newfstatat,3945,147272,-213.52743849239144
openat → read,3401,116076,-192.77435189554456
read → read,1168,223735,-173.32757214039415
read → close,805,273899,-160.42132813680598
read → wait4,1645,27267,-103.47155475044588
mmap → clone,899,26854,-94.85769120620252
newfstatat → openat,4312,23583,-91.63615593177583
rt_sigaction → rt_sigaction,663,21864,-84.09304841909565
munmap → mmap,2990,17729,-80.84482176310165
dup → dup,212,42133,-74.29540740185138
brk → brk,85,117804,-65.18283561983982
setsockopt → connect,505,10369,-62.33448400141142
pread64 → pread64,6005,17878,-60.95629990221843
lseek → close,112,17942,-51.710313382283076
socket → setsockopt,3156,10537,-50.44209200164114
write → read,193,5698,-43.785033969138475
close → dup,316,4022,-40.42859040798864
dup → close,290,4028,-40.286541734308145
socket → bind,685,3961,-38.00303229804784
unlink → symlink,998,4097,-34.84329219964087
read → write,56,5287,-32.57497684557046
clone → read,93,2439,-29.221490045868215
newfstatat → mmap,5988,11389,-28.86486748209626
clone → mmap,74,2591,-28.652765468554005
getsockname → close,67,2626,-28.22325513182348
brk → close,206,1782,-26.843221632616636
kill → kill,8,68252,-25.689707080073227
writev → clone,40,2758,-25.5171213400991
brk → openat,53,1984,-24.765576516463366
newfstatat → recvfrom,125,1422,-24.115512908283666
getdents64 → brk,51,1709,-23.4754751308631
recvfrom → newfstatat,87,1273,-22.581533086925756
read → openat,1680,3864,-22.262352614904614
sendto → newfstatat,96,1194,-22.051269775766063
ioctl → recvfrom,6876,11456,-21.520297001749114
brk → newfstatat,50,1324,-21.51361786754987
newfstatat → sendto,104,1058,-20.803405110541096
newfstatat → brk,83,1031,-20.492901213960753
getsockname → sendto,10,3924,-18.579733466594316
read → clone,113,823,-17.972375288096142
writev → read,9,3759,-17.850001467683576
kill → wait4,8,4379,-17.658013652354736
read → lseek,3,32451,-16.75061439133181
ioctl → connect,48,645,-16.16089739448233
wait4 → read,1283,2664,-16.133379752185615
exit_group → read,53,610,-15.796556717628347
connect → recvfrom,33,658,-15.787174444448608
sendto → setsockopt,60,584,-15.44423603883291
newfstatat → read,3,11124,-14.744271218277392
close → dup2,27,565,-14.549954458922775
getdents64 → openat,5586,8541,-14.084740831095484
connect → newfstatat,244,812,-13.964311345382974
mprotect → clone,14,660,-13.698064567091734
recvfrom → connect,77,479,-13.396914867367489
lseek → lseek,2,14027,-13.360813640044173
fcntl → close,38,424,-13.177429848934123
dup2 → dup2,19,467,-12.956714283962675
setsockopt → newfstatat,272,781,-12.384661165643509
read → newfstatat,2,6961,-12.251453135362306
clone → mprotect,3,2917,-12.234515979034896
wait4 → brk,128,514,-12.218349944715307
getpid → write,63,388,-12.034282970233225
futex → futex,0,7976280,-11.964685957408273
recvfrom → setsockopt,54,355,-11.638247509821557
newfstatat → ioctl,356,880,-11.49901754200499
fcntl → fcntl,1,12453,-10.829278493998222
recvfrom → ioctl,7270,10275,-10.681398337167082
setsockopt → ioctl,53,307,-10.574792035786258
brk → write,11,323,-10.512367528245692
brk → getdents64,80,349,-10.401768086582823
getpid → exit_group,2,1871,-10.169384404379596
clock_nanosleep → getpid,42,268,-10.06156429229595
chroot → wait4,2,1598,-9.91909363051857
setsockopt → recvfrom,30,245,-9.913318435714007
dup2 → close,435,925,-9.835544139800776
mprotect → futex,0,374901,-9.450068558238211
futex → mprotect,0,370035,-9.44065286454594
bind → getsockname,1,3909,-9.40861553104348
openat → fcntl,6,322,-9.395056586164156
rt_sigprocmask → rt_sigprocmask,0,331276,-9.36100005148808
getuid → getgid,16,213,-9.30641416073154
write → brk,7,276,-9.2550669284745
getpid → newfstatat,6,304,-9.244687540592617
clone → set_robust_list,0,258901,-9.184059772402438
openat → brk,51,250,-9.147387535622496
exit → rt_sigprocmask,0,225571,-9.085402748936028
rt_sigprocmask → clone,0,217291,-9.058658386268116
set_robust_list → rt_sigprocmask,0,213374,-9.045653380802733
brk → mmap,0,212621,-9.043126273276222
mmap → brk,0,211123,-9.038072475892932
madvise → exit,0,197565,-8.990648057809338
futex → clock_nanosleep,0,182795,-8.935169137415867
clock_nanosleep → futex,0,182491,-8.933981183965212
lseek → read,0,180596,-8.926531518012043
futex → madvise,0,171277,-8.888731321646542
newfstatat → lseek,0,170806,-8.886767096884787
rt_sigprocmask → futex,0,169097,-8.879594638677913
sched_yield → sched_yield,0,138145,-8.735519860287036
epoll_ctl → epoll_wait,0,99798,-8.504213197297256
epoll_wait → epoll_ctl,0,99789,-8.504149100441099
rt_sigprocmask → madvise,0,98324,-8.493638131322792
brk → futex,0,92199,-8.44793622639242
futex → brk,0,89553,-8.42725047461292
rt_sigprocmask → set_robust_list,0,82799,-8.371558455652345
madvise → madvise,0,81386,-8.35933605979097
connect → getsockname,0,75862,-8.309435274969243
close → getpid,691,1231,-8.30858209494404
getsockname → connect,0,73296,-8.285010824446253
clone → rt_sigprocmask,0,72380,-8.276085027713902
write → futex,0,62617,-8.17327575319599
futex → write,0,62359,-8.17034687807871
close → kill,0,61729,-8.163143902695907
set_robust_list → wait4,0,58528,-8.125375102992413
futex → rt_sigprocmask,0,56505,-8.10042820051764
wait4 → chroot,2,496,-8.057771117339833
madvise → rt_sigprocmask,0,46263,-7.9586425817713735
readlinkat → readlinkat,0,45927,-7.953475951879235
bind → ioctl,17,154,-7.91242446509568
rt_sigprocmask → exit,0,41385,-7.879675045975364
futex → kill,0,36627,-7.793138794917757
set_robust_list → futex,0,35407,-7.76913962749387
mmap → write,26,161,-7.753463507875691
kill → read,0,34114,-7.742786146261198
openat → ftruncate,5,187,-7.736107151922125
rt_sigreturn → futex,0,33552,-7.7310192639923585
brk → read,1,996,-7.730300698626248
kill → futex,0,33376,-7.727293772654724
pipe2 → clone,0,31770,-7.692363308017801
exit_group → pipe2,0,31754,-7.692006509061591
mmap → munmap,0,31224,-7.680084955636292
read → brk,1,949,-7.670885077535015
set_robust_list → close,0,30695,-7.667982691436753
madvise → futex,0,29705,-7.6447635958002556
futex → clone,0,29580,-7.641777097938116
ioctl → newfstatat,456,852,-7.625939575855187
rt_sigprocmask → writev,0,28462,-7.614491322942101
exit_group → rt_sigreturn,0,27427,-7.588259766294595
read → getpid,1,881,-7.579480127538152
close → brk,198,453,-7.565896973868115
munmap → rt_sigprocmask,0,26519,-7.564419694305459
rt_sigprocmask → getpid,0,26142,-7.554280903687788
tgkill → rt_sigprocmask,0,25903,-7.547777481150575
getpid → gettid,0,25894,-7.5475314130356095
gettid → tgkill,0,25891,-7.547449371348201
writev → mmap,0,25852,-7.54638196457639
futex → mmap,0,25505,-7.536813345709472
mmap → futex,0,25357,-7.532692587301329
kill → close,0,24774,-7.5162230365901905
clone → futex,0,23232,-7.470722555893184
futex → set_robust_list,0,22890,-7.4602226779382255
exit → clone,0,21178,-7.4051880585443755
exit → exit,0,19428,-7.34413345521791
poll → sendto,0,17346,-7.263897831662204
readlink → readlink,0,17271,-7.260830829104154
exit_group → munmap,0,16271,-7.218615447164258
madvise → brk,0,15930,-7.203624840983788
brk → mprotect,0,15494,-7.1839838542848895
set_robust_list → madvise,0,14995,-7.16081537346994
set_robust_list → set_robust_list,0,14414,-7.132848527137603
set_robust_list → clone,0,14195,-7.122013412619007
clone → exit,0,13463,-7.084544905380727
sendto → poll,0,13046,-7.062278884253636
mprotect → brk,0,13023,-7.061030168306979
futex → getpid,0,12570,-7.035976108359907
madvise → clone,0,12561,-7.035469252623647
connect → poll,0,12214,-7.015645191545916
futex → exit,0,11564,-6.9769474313535635
newfstatat → fcntl,0,11478,-6.971665247333394
clone → madvise,0,11463,-6.9707398860194685
set_robust_list → exit,0,11236,-6.956586384521644
rt_sigreturn → clone,0,11064,-6.945670496074844
fcntl → getdents64,0,10999,-6.94150108281923
poll → close,0,10769,-6.9265474095640664
