category,IsolationForest,VAE,Ensemble α=0.7,PyOD-AutoEncoder,PyOD-PCA,PyOD-OCSVM,PyOD-KNN,PyOD-Avg
Normal,0.42920353982300885,0.02064896755162242,0.42920353982300885,0.0,0.03687315634218289,0.0752212389380531,0.01327433628318584,0.05604719764011799
KASAN,0.9977528089887641,1.0,0.9977528089887641,1.0,1.0,1.0,0.9438202247191011,1.0
WARNING,0.995260663507109,0.9976303317535545,0.995260663507109,1.0,1.0,1.0,0.985781990521327,1.0
general_protection_fault,0.9970674486803519,1.0,0.9970674486803519,1.0,1.0,1.0,1.0,1.0
memory_leak,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KMSAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INFO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BUG,1.0,1.0,1.0,1.0,1.0,1.0,0.8787878787878788,1.0
kernel_BUG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
possible_deadlock,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
divide_error,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
inconsistent_lock_state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
